Date,Time,Open,High,Low,Close,Volume
2024.12.31,09:50,2612.04,2613.46,2611.67,2613.24,551
2024.12.31,09:55,2613.22,2613.97,2612.77,2613.63,454
2024.12.31,10:00,2613.72,2613.78,2612.86,2613.41,573
2024.12.31,10:05,2613.32,2614.62,2613.19,2614.04,548
2024.12.31,10:10,2614.06,2614.82,2613.84,2614.20,490
2024.12.31,10:15,2614.07,2614.33,2613.18,2613.48,504
2024.12.31,10:20,2613.38,2614.90,2613.13,2614.57,468
2024.12.31,10:25,2614.58,2614.66,2612.72,2613.09,512
2024.12.31,10:30,2613.10,2614.46,2612.80,2614.43,544
2024.12.31,10:35,2614.37,2616.30,2614.13,2616.26,608
2024.12.31,10:40,2616.25,2616.80,2615.60,2615.98,580
2024.12.31,10:45,2615.99,2616.33,2615.38,2615.52,651
2024.12.31,10:50,2615.51,2616.76,2614.82,2616.49,465
2024.12.31,10:55,2616.50,2617.55,2616.13,2616.45,498
2024.12.31,11:00,2616.45,2616.68,2615.27,2615.56,564
2024.12.31,11:05,2615.54,2615.95,2614.42,2615.90,449
2024.12.31,11:10,2615.90,2615.95,2613.66,2613.74,467
2024.12.31,11:15,2613.78,2614.51,2612.98,2613.64,540
2024.12.31,11:20,2613.63,2615.09,2613.63,2614.85,421
2024.12.31,11:25,2614.81,2615.24,2614.58,2614.99,477
2024.12.31,11:30,2615.03,2616.15,2614.83,2616.06,574
2024.12.31,11:35,2616.05,2616.18,2614.77,2614.83,496
2024.12.31,11:40,2614.83,2615.12,2614.31,2614.39,388
2024.12.31,11:45,2614.31,2615.23,2614.12,2614.98,335
2024.12.31,11:50,2615.04,2616.12,2614.75,2615.19,408
2024.12.31,11:55,2615.15,2615.49,2614.50,2615.15,392
2024.12.31,12:00,2615.24,2615.62,2613.22,2613.65,550
2024.12.31,12:05,2613.68,2614.49,2613.08,2613.87,671
2024.12.31,12:10,2613.87,2614.83,2613.56,2614.39,575
2024.12.31,12:15,2614.38,2614.72,2613.21,2613.21,399
2024.12.31,12:20,2613.29,2613.80,2612.85,2613.21,296
2024.12.31,12:25,2613.08,2613.93,2612.68,2612.77,341
2024.12.31,12:30,2612.76,2613.44,2610.75,2612.70,808
2024.12.31,12:35,2612.72,2612.99,2611.52,2611.91,546
2024.12.31,12:40,2611.89,2612.29,2611.46,2612.21,405
2024.12.31,12:45,2612.22,2612.99,2611.75,2612.81,489
2024.12.31,12:50,2612.80,2613.68,2611.23,2611.52,622
2024.12.31,12:55,2611.53,2612.10,2611.12,2611.67,588
2024.12.31,13:00,2611.66,2613.08,2611.56,2612.66,501
2024.12.31,13:05,2612.71,2614.06,2612.66,2613.09,536
2024.12.31,13:10,2613.02,2613.06,2611.97,2612.42,460
2024.12.31,13:15,2612.41,2612.41,2611.26,2611.27,465
2024.12.31,13:20,2611.26,2612.12,2610.83,2610.85,489
2024.12.31,13:25,2610.84,2611.21,2609.61,2610.05,470
2024.12.31,13:30,2609.99,2611.13,2609.79,2610.13,578
2024.12.31,13:35,2610.19,2611.08,2609.93,2611.00,496
2024.12.31,13:40,2610.99,2611.83,2610.13,2610.32,372
2024.12.31,13:45,2610.33,2611.00,2610.12,2610.39,374
2024.12.31,13:50,2610.38,2611.72,2610.26,2611.41,288
2024.12.31,13:55,2611.42,2611.85,2610.77,2610.93,639
2024.12.31,14:00,2610.90,2611.88,2610.38,2610.39,882
2024.12.31,14:05,2610.34,2610.39,2609.20,2609.77,548
2024.12.31,14:10,2609.76,2610.42,2609.35,2610.19,622
2024.12.31,14:15,2610.23,2610.89,2609.36,2610.63,677
2024.12.31,14:20,2610.62,2611.20,2610.23,2610.84,334
2024.12.31,14:25,2610.87,2611.20,2610.20,2610.63,361
2024.12.31,14:30,2610.62,2610.95,2609.71,2610.34,473
2024.12.31,14:35,2610.33,2610.99,2610.16,2610.50,442
2024.12.31,14:40,2610.49,2610.71,2609.56,2610.48,404
2024.12.31,14:45,2610.10,2612.02,2609.98,2611.98,466
2024.12.31,14:50,2611.99,2612.58,2611.54,2611.70,554
2024.12.31,14:55,2611.70,2611.94,2610.88,2611.06,623
2024.12.31,15:00,2611.07,2611.45,2608.67,2608.75,954
2024.12.31,15:05,2608.74,2609.15,2608.06,2608.70,730
2024.12.31,15:10,2608.66,2608.91,2607.51,2607.55,715
2024.12.31,15:15,2607.55,2608.09,2605.50,2605.78,763
2024.12.31,15:20,2605.81,2612.22,2605.24,2612.12,1005
2024.12.31,15:25,2612.13,2614.88,2612.12,2613.67,1134
2024.12.31,15:30,2613.66,2616.08,2613.09,2614.38,1516
2024.12.31,15:35,2614.39,2614.39,2612.70,2613.17,1158
2024.12.31,15:40,2613.17,2614.36,2612.12,2612.12,1192
2024.12.31,15:45,2612.18,2612.89,2611.34,2612.78,907
2024.12.31,15:50,2612.73,2613.08,2611.19,2612.10,595
2024.12.31,15:55,2612.09,2614.46,2612.09,2613.17,688
2024.12.31,16:00,2613.16,2613.18,2611.53,2611.85,716
2024.12.31,16:05,2611.84,2612.47,2611.22,2611.65,816
2024.12.31,16:10,2611.63,2613.32,2611.42,2613.29,675
2024.12.31,16:15,2613.24,2614.04,2612.89,2613.16,737
2024.12.31,16:20,2613.17,2613.37,2611.26,2611.62,863
2024.12.31,16:25,2611.64,2612.20,2611.15,2611.93,942
2024.12.31,16:30,2611.94,2615.09,2611.58,2614.42,1229
2024.12.31,16:35,2614.27,2617.79,2613.81,2616.48,1485
2024.12.31,16:40,2616.50,2616.59,2613.96,2614.23,1214
2024.12.31,16:45,2614.46,2614.97,2613.33,2613.53,1266
2024.12.31,16:50,2613.56,2613.72,2612.20,2612.76,1399
